============ Start of Season ============
1972-01-29 | w: NYK | L: SEA
1972-01-29 | w: BOS | L: DET
1972-01-29 | w: CIN | L: CLE
1972-01-30 | w: LAL | L: POR
1972-01-30 | w: BOS | L: PHL
1972-01-30 | w: MIL | L: BLT
1972-01-30 | w: CHI | L: DET
1972-01-30 | w: PHX | L: ATL
1972-01-30 | w: BUF | L: CLE
1972-02-01 | w: MIL | L: GOS
1972-02-01 | w: NYK | L: DET
1972-02-01 | w: BOS | L: BLT
1972-02-01 | w: SEA | L: CHI
1972-02-01 | w: PHX | L: POR
1972-02-01 | w: CLE | L: BUF
1972-02-02 | w: BOS | L: CHI
1972-02-02 | w: DET | L: CLE
1972-02-02 | w: HOU | L: SEA
1972-02-02 | w: MIL | L: PHX
1972-02-02 | w: PHL | L: BUF
1972-02-02 | w: CIN | L: NYK
1972-02-03 | w: GOS | L: ATL
1972-02-04 | w: LAL | L: MIL
1972-02-04 | w: BOS | L: CIN
1972-02-04 | w: CHI | L: BLT
1972-02-04 | w: PHX | L: GOS
1972-02-04 | w: POR | L: HOU
1972-02-04 | w: SEA | L: CLE
1972-02-04 | w: DET | L: PHL
1972-02-04 | w: NYK | L: BUF
1972-02-05 | w: ATL | L: CLE
1972-02-05 | w: LAL | L: GOS
1972-02-05 | w: NYK | L: PHL
1972-02-05 | w: MIL | L: HOU
1972-02-05 | w: CHI | L: BUF
1972-02-05 | w: CIN | L: DET
1972-02-05 | w: PHX | L: POR
1972-02-06 | w: LAL | L: BLT
1972-02-06 | w: BOS | L: SEA
1972-02-06 | w: HOU | L: ATL
1972-02-06 | w: CHI | L: CIN
1972-02-06 | w: PHX | L: POR
1972-02-06 | w: NYK | L: PHL
1972-02-06 | w: BUF | L: CLE
1972-02-08 | w: GOS | L: BLT
1972-02-08 | w: LAL | L: NYK
1972-02-08 | w: SEA | L: HOU
1972-02-08 | w: CHI | L: CLE
1972-02-08 | w: PHX | L: PHL
1972-02-08 | w: POR | L: CIN
1972-02-08 | w: MIL | L: BUF
1972-02-09 | w: LAL | L: ATL
1972-02-09 | w: BOS | L: BUF
1972-02-09 | w: NYK | L: DET
1972-02-09 | w: MIL | L: CLE
1972-02-10 | w: GOS | L: PHL
1972-02-10 | w: SEA | L: CIN
1972-02-10 | w: PHX | L: BLT
1972-02-11 | w: BOS | L: LAL
1972-02-11 | w: HOU | L: BLT
1972-02-11 | w: CHI | L: ATL
1972-02-11 | w: NYK | L: MIL
1972-02-11 | w: POR | L: PHL
1972-02-11 | w: BUF | L: DET
1972-02-12 | w: CHI | L: ATL
1972-02-12 | w: NYK | L: CLE
1972-02-12 | w: DET | L: BUF
1972-02-12 | w: SEA | L: POR
1972-02-12 | w: PHX | L: CIN
1972-02-12 | w: MIL | L: GOS
1972-02-13 | w: ATL | L: BUF
1972-02-13 | w: MIL | L: BOS
1972-02-13 | w: LAL | L: BLT
1972-02-13 | w: HOU | L: CIN
1972-02-13 | w: GOS | L: CHI
1972-02-13 | w: DET | L: CLE
1972-02-13 | w: SEA | L: POR
1972-02-14 | w: HOU | L: PHL
1972-02-15 | w: LAL | L: CIN
1972-02-15 | w: ATL | L: DET
1972-02-15 | w: BLT | L: HOU
1972-02-15 | w: BOS | L: POR
1972-02-15 | w: GOS | L: BUF
1972-02-16 | w: ATL | L: BLT
1972-02-16 | w: NYK | L: HOU
1972-02-16 | w: SEA | L: BOS
1972-02-16 | w: PHX | L: LAL
1972-02-16 | w: PHL | L: CLE
1972-02-17 | w: MIL | L: CIN
1972-02-17 | w: NYK | L: CHI
1972-02-18 | w: LAL | L: POR
1972-02-18 | w: CHI | L: DET
1972-02-18 | w: BLT | L: ATL
1972-02-18 | w: SEA | L: GOS
1972-02-18 | w: PHX | L: BOS
1972-02-18 | w: PHL | L: MIL
1972-02-18 | w: CLE | L: CIN
1972-02-18 | w: HOU | L: BUF
1972-02-19 | w: GOS | L: BOS
1972-02-19 | w: NYK | L: BUF
1972-02-19 | w: CHI | L: MIL
1972-02-19 | w: LAL | L: POR
1972-02-19 | w: BLT | L: PHL
1972-02-19 | w: CIN | L: CLE
1972-02-20 | w: LAL | L: BOS
1972-02-20 | w: CIN | L: ATL
1972-02-20 | w: PHX | L: DET
1972-02-20 | w: SEA | L: POR
1972-02-20 | w: MIL | L: CHI
1972-02-20 | w: CLE | L: NYK
1972-02-21 | w: BLT | L: PHL
1972-02-22 | w: BOS | L: PHX
1972-02-22 | w: GOS | L: SEA
1972-02-22 | w: NYK | L: POR
1972-02-22 | w: CHI | L: PHL
1972-02-22 | w: DET | L: LAL
1972-02-22 | w: BUF | L: BLT
1972-02-23 | w: ATL | L: PHX
1972-02-23 | w: MIL | L: BLT
1972-02-23 | w: SEA | L: DET
1972-02-23 | w: HOU | L: LAL
1972-02-23 | w: BOS | L: CLE
1972-02-23 | w: CIN | L: POR
1972-02-24 | w: GOS | L: DET
1972-02-24 | w: CIN | L: BUF
1972-02-25 | w: LAL | L: CIN
1972-02-25 | w: CHI | L: PHX
1972-02-25 | w: CLE | L: POR
1972-02-25 | w: PHL | L: ATL
1972-02-25 | w: BOS | L: BUF
1972-02-26 | w: CHI | L: GOS
1972-02-26 | w: BLT | L: NYK
1972-02-26 | w: SEA | L: CIN
1972-02-26 | w: HOU | L: DET
1972-02-26 | w: MIL | L: PHX
1972-02-27 | w: ATL | L: POR
1972-02-27 | w: GOS | L: HOU
1972-02-27 | w: PHX | L: CLE
1972-02-27 | w: NYK | L: BLT
