============ Start of Season ============
1984-02-03 | w: DET | L: SDC
1984-02-03 | w: SEA | L: SAN
1984-02-03 | w: POR | L: MIL
1984-02-03 | w: CLE | L: CHI
1984-02-03 | w: KCK | L: NJN
1984-02-03 | w: DEN | L: DAL
1984-02-03 | w: ATL | L: PHL
1984-02-04 | w: GOS | L: PHX
1984-02-04 | w: WAS | L: IND
1984-02-04 | w: NJN | L: CHI
1984-02-04 | w: NYK | L: HOU
1984-02-04 | w: CLE | L: SDC
1984-02-04 | w: KCK | L: DEN
1984-02-04 | w: UTH | L: MIL
1984-02-04 | w: ATL | L: PHL
1984-02-05 | w: SEA | L: DAL
1984-02-05 | w: POR | L: PHX
1984-02-05 | w: LAL | L: SAN
1984-02-05 | w: BOS | L: DET
1984-02-06 | w: NYK | L: GOS
1984-02-06 | w: NJN | L: BOS
1984-02-07 | w: ATL | L: NJN
1984-02-07 | w: DET | L: CLE
1984-02-07 | w: WAS | L: HOU
1984-02-07 | w: SEA | L: DEN
1984-02-07 | w: PHX | L: SAN
1984-02-07 | w: POR | L: DAL
1984-02-07 | w: SDC | L: UTH
1984-02-07 | w: LAL | L: IND
1984-02-07 | w: MIL | L: KCK
1984-02-07 | w: CHI | L: PHL
1984-02-08 | w: LAL | L: BOS
1984-02-08 | w: MIL | L: NYK
1984-02-08 | w: CLE | L: GOS
1984-02-08 | w: KCK | L: SAN
1984-02-08 | w: DAL | L: DEN
1984-02-08 | w: POR | L: SDC
1984-02-08 | w: CHI | L: NJN
1984-02-08 | w: PHL | L: HOU
1984-02-09 | w: PHX | L: ATL
1984-02-09 | w: IND | L: SEA
1984-02-10 | w: BOS | L: HOU
1984-02-10 | w: DET | L: GOS
1984-02-10 | w: WAS | L: LAL
1984-02-10 | w: SAN | L: MIL
1984-02-10 | w: POR | L: DEN
1984-02-10 | w: CLE | L: SEA
1984-02-10 | w: NYK | L: UTH
1984-02-10 | w: SDC | L: ATL
1984-02-10 | w: DAL | L: KCK
1984-02-10 | w: CHI | L: PHL
1984-02-11 | w: SAN | L: DET
1984-02-11 | w: CHI | L: GOS
1984-02-11 | w: PHX | L: DAL
1984-02-11 | w: KCK | L: WAS
1984-02-11 | w: CLE | L: IND
1984-02-11 | w: NYK | L: DEN
1984-02-12 | w: LAL | L: ATL
1984-02-12 | w: UTH | L: POR
1984-02-12 | w: NJN | L: HOU
1984-02-12 | w: MIL | L: SDC
1984-02-12 | w: PHL | L: BOS
1984-02-13 | w: SAN | L: IND
1984-02-14 | w: GOS | L: SEA
1984-02-14 | w: DET | L: HOU
1984-02-14 | w: CHI | L: SDC
1984-02-14 | w: MIL | L: PHX
1984-02-14 | w: CLE | L: NJN
1984-02-14 | w: NYK | L: KCK
1984-02-14 | w: UTH | L: ATL
1984-02-14 | w: WAS | L: DEN
1984-02-15 | w: SEA | L: WAS
1984-02-15 | w: CLE | L: PHX
1984-02-15 | w: SAN | L: NJN
1984-02-15 | w: MIL | L: IND
1984-02-15 | w: DAL | L: PHL
1984-02-16 | w: BOS | L: GOS
1984-02-16 | w: NYK | L: IND
1984-02-16 | w: KCK | L: UTH
1984-02-16 | w: DEN | L: ATL
1984-02-16 | w: HOU | L: SDC
1984-02-17 | w: DEN | L: LAL
1984-02-17 | w: BOS | L: SEA
1984-02-17 | w: SAN | L: CHI
1984-02-17 | w: MIL | L: UTH
1984-02-17 | w: WAS | L: POR
1984-02-17 | w: DAL | L: PHX
1984-02-17 | w: PHL | L: NJN
1984-02-18 | w: GOS | L: WAS
1984-02-18 | w: NYK | L: NJN
1984-02-18 | w: PHX | L: HOU
1984-02-18 | w: IND | L: CLE
1984-02-18 | w: KCK | L: ATL
1984-02-18 | w: LAL | L: SDC
1984-02-18 | w: DET | L: DAL
1984-02-19 | w: SEA | L: DEN
1984-02-19 | w: MIL | L: CHI
1984-02-19 | w: BOS | L: POR
1984-02-19 | w: IND | L: UTH
1984-02-19 | w: DET | L: SAN
1984-02-19 | w: PHL | L: NYK
1984-02-21 | w: LAL | L: SEA
1984-02-21 | w: ATL | L: CLE
1984-02-21 | w: GOS | L: DEN
1984-02-21 | w: POR | L: NYK
1984-02-21 | w: HOU | L: MIL
1984-02-21 | w: UTH | L: CHI
1984-02-21 | w: KCK | L: DET
1984-02-21 | w: PHX | L: SAN
1984-02-21 | w: NJN | L: PHL
1984-02-22 | w: DET | L: NYK
1984-02-22 | w: POR | L: WAS
1984-02-22 | w: SEA | L: LAL
1984-02-22 | w: CHI | L: IND
1984-02-22 | w: DEN | L: SAN
1984-02-22 | w: SDC | L: BOS
1984-02-22 | w: DAL | L: HOU
1984-02-23 | w: SDC | L: GOS
1984-02-23 | w: PHX | L: KCK
1984-02-23 | w: NJN | L: IND
1984-02-23 | w: UTH | L: SAN
1984-02-23 | w: CLE | L: PHL
1984-02-24 | w: LAL | L: BOS
1984-02-24 | w: WAS | L: CHI
1984-02-24 | w: SEA | L: UTH
1984-02-24 | w: DEN | L: PHX
1984-02-24 | w: IND | L: DET
1984-02-24 | w: MIL | L: DAL
1984-02-24 | w: ATL | L: NYK
1984-02-24 | w: POR | L: PHL
1984-02-25 | w: ATL | L: CHI
1984-02-25 | w: GOS | L: HOU
1984-02-25 | w: CLE | L: WAS
1984-02-25 | w: DAL | L: UTH
1984-02-25 | w: MIL | L: SAN
1984-02-25 | w: DEN | L: KCK
1984-02-25 | w: NJN | L: NYK
1984-02-26 | w: DET | L: CLE
1984-02-26 | w: SDC | L: SEA
1984-02-26 | w: BOS | L: PHX
1984-02-26 | w: IND | L: POR
1984-02-26 | w: LAL | L: PHL
1984-02-27 | w: NYK | L: ATL
1984-02-28 | w: DET | L: ATL
1984-02-28 | w: HOU | L: SEA
1984-02-28 | w: LAL | L: CHI
1984-02-28 | w: PHX | L: UTH
1984-02-28 | w: POR | L: SDC
1984-02-28 | w: DAL | L: SAN
1984-02-28 | w: WAS | L: IND
1984-02-28 | w: GOS | L: DEN
1984-02-28 | w: KCK | L: CLE
1984-02-29 | w: NYK | L: BOS
