============ Start of Season ============
1972-02-12 | w: OKC | L: POR
1972-02-12 | w: PHX | L: SAC
1972-02-12 | w: MIL | L: GSW
1972-02-13 | w: ATL | L: LAC
1972-02-13 | w: MIL | L: BOS
1972-02-13 | w: LAL | L: WAS
1972-02-13 | w: HOU | L: SAC
1972-02-13 | w: GSW | L: CHI
1972-02-13 | w: DET | L: CLE
1972-02-13 | w: OKC | L: POR
1972-02-14 | w: HOU | L: PHI
1972-02-15 | w: LAL | L: SAC
1972-02-15 | w: ATL | L: DET
1972-02-15 | w: WAS | L: HOU
1972-02-15 | w: BOS | L: POR
1972-02-15 | w: GSW | L: LAC
1972-02-16 | w: ATL | L: WAS
1972-02-16 | w: NYK | L: HOU
1972-02-16 | w: OKC | L: BOS
1972-02-16 | w: PHX | L: LAL
1972-02-16 | w: PHI | L: CLE
1972-02-17 | w: MIL | L: SAC
1972-02-17 | w: NYK | L: CHI
1972-02-18 | w: LAL | L: POR
1972-02-18 | w: CHI | L: DET
1972-02-18 | w: WAS | L: ATL
1972-02-18 | w: OKC | L: GSW
1972-02-18 | w: PHX | L: BOS
1972-02-18 | w: PHI | L: MIL
1972-02-18 | w: CLE | L: SAC
1972-02-18 | w: HOU | L: LAC
1972-02-19 | w: GSW | L: BOS
1972-02-19 | w: NYK | L: LAC
1972-02-19 | w: CHI | L: MIL
1972-02-19 | w: LAL | L: POR
1972-02-19 | w: WAS | L: PHI
1972-02-19 | w: SAC | L: CLE
1972-02-20 | w: LAL | L: BOS
1972-02-20 | w: SAC | L: ATL
1972-02-20 | w: PHX | L: DET
1972-02-20 | w: OKC | L: POR
1972-02-20 | w: MIL | L: CHI
1972-02-20 | w: CLE | L: NYK
1972-02-21 | w: WAS | L: PHI
1972-02-22 | w: BOS | L: PHX
1972-02-22 | w: GSW | L: OKC
1972-02-22 | w: NYK | L: POR
1972-02-22 | w: CHI | L: PHI
1972-02-22 | w: DET | L: LAL
1972-02-22 | w: LAC | L: WAS
1972-02-23 | w: ATL | L: PHX
1972-02-23 | w: MIL | L: WAS
1972-02-23 | w: OKC | L: DET
1972-02-23 | w: HOU | L: LAL
1972-02-23 | w: BOS | L: CLE
1972-02-23 | w: SAC | L: POR
1972-02-24 | w: GSW | L: DET
1972-02-24 | w: SAC | L: LAC
1972-02-25 | w: LAL | L: SAC
1972-02-25 | w: CHI | L: PHX
1972-02-25 | w: CLE | L: POR
1972-02-25 | w: PHI | L: ATL
1972-02-25 | w: BOS | L: LAC
1972-02-26 | w: CHI | L: GSW
1972-02-26 | w: WAS | L: NYK
1972-02-26 | w: OKC | L: SAC
1972-02-26 | w: HOU | L: DET
1972-02-26 | w: MIL | L: PHX
1972-02-27 | w: ATL | L: POR
1972-02-27 | w: GSW | L: HOU
1972-02-27 | w: PHX | L: CLE
1972-02-27 | w: NYK | L: WAS
1972-02-27 | w: LAL | L: CHI
1972-02-29 | w: GSW | L: SAC
1972-02-29 | w: LAL | L: NYK
1972-02-29 | w: MIL | L: DET
1972-02-29 | w: CHI | L: POR
1972-02-29 | w: OKC | L: WAS
1972-02-29 | w: ATL | L: LAC
1972-03-01 | w: BOS | L: CLE
1972-03-01 | w: OKC | L: DET
1972-03-01 | w: HOU | L: SAC
1972-03-01 | w: WAS | L: PHX
1972-03-01 | w: LAL | L: MIL
1972-03-01 | w: PHI | L: LAC
1972-03-03 | w: LAL | L: ATL
1972-03-03 | w: GSW | L: HOU
1972-03-03 | w: BOS | L: DET
1972-03-03 | w: OKC | L: CHI
1972-03-03 | w: WAS | L: POR
1972-03-03 | w: MIL | L: PHI
1972-03-03 | w: LAC | L: NYK
1972-03-04 | w: GSW | L: OKC
1972-03-04 | w: CLE | L: HOU
1972-03-04 | w: ATL | L: POR
1972-03-04 | w: NYK | L: PHI
1972-03-05 | w: WAS | L: LAL
1972-03-05 | w: SAC | L: BOS
1972-03-05 | w: OKC | L: ATL
1972-03-05 | w: CHI | L: HOU
1972-03-05 | w: PHX | L: LAC
1972-03-05 | w: PHI | L: NYK
1972-03-06 | w: MIL | L: BOS
1972-03-07 | w: LAL | L: PHI
1972-03-07 | w: GSW | L: CLE
1972-03-07 | w: NYK | L: MIL
1972-03-07 | w: PHX | L: DET
1972-03-07 | w: WAS | L: OKC
1972-03-07 | w: POR | L: LAC
1972-03-08 | w: CHI | L: ATL
1972-03-08 | w: SAC | L: PHX
1972-03-09 | w: HOU | L: POR
1972-03-09 | w: PHI | L: OKC
1972-03-10 | w: LAL | L: CLE
1972-03-10 | w: GSW | L: HOU
1972-03-10 | w: SAC | L: CHI
1972-03-11 | w: PHX | L: NYK
1972-03-11 | w: HOU | L: LAC
1972-03-12 | w: LAL | L: LAC
1972-03-12 | w: ATL | L: CLE
1972-03-12 | w: BOS | L: NYK
1972-03-12 | w: WAS | L: DET
1972-03-12 | w: MIL | L: OKC
1972-03-12 | w: HOU | L: PHI
1972-03-12 | w: SAC | L: GSW
1972-03-14 | w: BOS | L: GSW
1972-03-14 | w: NYK | L: ATL
1972-03-14 | w: LAL | L: DET
1972-03-14 | w: OKC | L: CHI
1972-03-14 | w: MIL | L: POR
1972-03-14 | w: CLE | L: WAS
1972-03-14 | w: LAC | L: PHI
1972-03-15 | w: ATL | L: OKC
1972-03-15 | w: PHX | L: MIL
1972-03-15 | w: BOS | L: PHI
1972-03-15 | w: LAL | L: SAC
1972-03-16 | w: GSW | L: POR
1972-03-16 | w: NYK | L: HOU
1972-03-16 | w: WAS | L: CLE
1972-03-17 | w: LAL | L: MIL
1972-03-17 | w: DET | L: ATL
1972-03-17 | w: WAS | L: OKC
1972-03-17 | w: CHI | L: LAC
1972-03-17 | w: PHX | L: NYK
1972-03-17 | w: POR | L: GSW
1972-03-17 | w: BOS | L: PHI
1972-03-18 | w: ATL | L: SAC
1972-03-18 | w: GSW | L: PHX
1972-03-18 | w: POR | L: NYK
1972-03-18 | w: CHI | L: CLE
1972-03-18 | w: LAC | L: DET
1972-03-18 | w: MIL | L: HOU
1972-03-19 | w: LAL | L: GSW
1972-03-19 | w: WAS | L: BOS
1972-03-19 | w: CHI | L: DET
1972-03-19 | w: ATL | L: CLE
1972-03-19 | w: PHI | L: OKC
1972-03-19 | w: SAC | L: LAC
1972-03-21 | w: DET | L: SAC
1972-03-21 | w: PHX | L: POR
1972-03-21 | w: LAL | L: CHI
1972-03-21 | w: MIL | L: HOU
1972-03-21 | w: ATL | L: PHI
1972-03-21 | w: LAC | L: WAS
1972-03-22 | w: ATL | L: HOU
1972-03-22 | w: BOS | L: PHI
1972-03-22 | w: NYK | L: LAC
1972-03-22 | w: GSW | L: WAS
1972-03-22 | w: CLE | L: LAL
1972-03-22 | w: SAC | L: DET
1972-03-24 | w: LAL | L: PHX
1972-03-24 | w: ATL | L: GSW
1972-03-24 | w: DET | L: LAC
1972-03-24 | w: MIL | L: NYK
1972-03-24 | w: CHI | L: PHI
1972-03-24 | w: HOU | L: CLE
1972-03-24 | w: SAC | L: WAS
1972-03-25 | w: NYK | L: CLE
1972-03-25 | w: HOU | L: WAS
1972-03-25 | w: CHI | L: DET
1972-03-25 | w: PHX | L: OKC
1972-03-25 | w: MIL | L: SAC
1972-03-25 | w: BOS | L: LAC
1972-03-26 | w: LAL | L: OKC
1972-03-26 | w: ATL | L: NYK
1972-03-26 | w: BOS | L: DET
1972-03-26 | w: WAS | L: LAC
1972-03-26 | w: HOU | L: POR
1972-03-26 | w: SAC | L: CLE
1972-03-26 | w: GSW | L: PHI
============ End of Regular Season ============
1972-03-28 | w: LAL | L: CHI
1972-03-28 | w: GSW | L: MIL
1972-03-29 | w: BOS | L: ATL
1972-03-30 | w: LAL | L: CHI
1972-03-30 | w: MIL | L: GSW
1972-03-31 | w: ATL | L: BOS
1972-03-31 | w: WAS | L: NYK
