============ Start of Season ============
1980-02-13 | w: CLE | L: DET
1980-02-13 | w: OKC | L: ATL
1980-02-13 | w: HOU | L: NYK
1980-02-13 | w: PHX | L: BOS
1980-02-13 | w: MIL | L: CHI
1980-02-13 | w: PHL | L: UTH
1980-02-13 | w: BKN | L: IND
1980-02-13 | w: WAS | L: LAC
1980-02-14 | w: OKC | L: DEN
1980-02-14 | w: MIL | L: GOS
1980-02-14 | w: IND | L: CLE
1980-02-14 | w: NYK | L: SAN
1980-02-14 | w: BKN | L: UTH
1980-02-15 | w: LAL | L: SAC
1980-02-15 | w: PHL | L: DET
1980-02-15 | w: MIL | L: HOU
1980-02-15 | w: SAN | L: CHI
1980-02-15 | w: PHX | L: WAS
1980-02-15 | w: BOS | L: POR
1980-02-15 | w: GOS | L: IND
1980-02-15 | w: DEN | L: ATL
1980-02-16 | w: UTH | L: NYK
1980-02-16 | w: CLE | L: DET
1980-02-16 | w: PHL | L: CHI
1980-02-17 | w: LAL | L: WAS
1980-02-17 | w: ATL | L: DET
1980-02-17 | w: OKC | L: BOS
1980-02-17 | w: PHX | L: BKN
1980-02-17 | w: POR | L: GOS
1980-02-17 | w: PHL | L: CLE
1980-02-17 | w: SAN | L: MIL
1980-02-17 | w: DEN | L: HOU
1980-02-17 | w: IND | L: CHI
1980-02-17 | w: SAC | L: LAC
1980-02-19 | w: NYK | L: POR
1980-02-19 | w: CHI | L: OKC
1980-02-19 | w: CLE | L: PHX
1980-02-19 | w: BKN | L: LAC
1980-02-20 | w: ATL | L: MIL
1980-02-20 | w: GOS | L: HOU
1980-02-20 | w: SAC | L: OKC
1980-02-20 | w: BOS | L: UTH
1980-02-20 | w: SAN | L: CHI
1980-02-20 | w: IND | L: NYK
1980-02-20 | w: LAL | L: DEN
1980-02-21 | w: PHX | L: DET
1980-02-21 | w: WAS | L: CLE
1980-02-21 | w: LAC | L: PHL
1980-02-22 | w: LAL | L: BKN
1980-02-22 | w: ATL | L: PHX
1980-02-22 | w: WAS | L: SAN
1980-02-22 | w: HOU | L: UTH
1980-02-22 | w: DEN | L: GOS
1980-02-23 | w: NYK | L: CLE
1980-02-23 | w: POR | L: DET
1980-02-23 | w: OKC | L: UTH
1980-02-23 | w: BOS | L: DEN
1980-02-24 | w: LAL | L: HOU
1980-02-24 | w: PHL | L: GOS
1980-02-24 | w: WAS | L: NYK
1980-02-24 | w: CHI | L: LAC
1980-02-24 | w: POR | L: CLE
1980-02-24 | w: MIL | L: SAC
1980-02-24 | w: PHX | L: IND
1980-02-24 | w: BKN | L: SAN
1980-02-26 | w: LAL | L: OKC
1980-02-26 | w: BOS | L: ATL
